#起始日期：2017-06-01 00:00:00  终止日期：2017-06-12 23:59:59												
#交易金额合计：11197笔，共4110546.80元												
#下载时间：2017-06-18 20:58:23												
												
交易时间	微信支付单号	商户订单号	商户号	特约商户号	设备号	appid	下单用户	交易场景	交易状态	支付成功时间	交易金额(元)	现金券抵扣金额(元) 
2017/6/1 6:00	"4002502001201706013615618059	"	"GH201706010559421704233096	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wSSaOi5LaK1HsZur2aSANuk	公众号支付	买家已支付	2017/6/1 6:00	5.5	0
2017/6/1 6:00	"4009022001201706013611744032	"	"GH201706010559381437952401	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1weRY2Wy0-_wS1ZG6xP0uazw	公众号支付	买家已支付	2017/6/1 6:00	7.5	0
2017/6/1 6:00	"4001752001201706013615631013	"	"GH20170601055943254301116	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wVfLfZoYlUhwlpucz6ZcDPg	公众号支付	买家已支付	2017/6/1 6:00	7.5	0
2017/6/1 6:00	"4004772001201706013616479532	"	"GH201706010559481442926828	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wbPz-hNreDhXTGzci38jG5g	公众号支付	买家已支付	2017/6/1 6:00	5.5	0
2017/6/1 6:00	"4001652001201706013616517419	"	"GH201706010559402039356190	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wafNexDUjjIVmxYCYutnTC8	公众号支付	买家已支付	2017/6/1 6:00	7.5	0
2017/6/1 6:00	"4007522001201706013611689936	"	"GH201706010559422123389133	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wcoAJ3siZiXeOnMBcddkt2E	公众号支付	买家已支付	2017/6/1 6:00	5.5	0
2017/6/1 6:00	"4003922001201706013611743833	"	"GH20170601055944464912600	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wRnHOqYm8R_ZB3P_xYhV7bQ	公众号支付	买家已支付	2017/6/1 6:00	5.5	0
2017/6/1 6:00	"4001172001201706013616355978	"	"GH201706010559522015966885	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wb85aNFhcU5BRIEr-HuqtJ8	公众号支付	买家已支付	2017/6/1 6:00	7.5	0
2017/6/1 6:00	"4005132001201706013611706334	"	"GH201706010559482086876215	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wSlaSN9EHXKwx9wPr_DHifY	公众号支付	买家已支付	2017/6/1 6:00	5.5	0
2017/6/1 6:00	"4008492001201706013611722489	"	"GH20170601055956719918925	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wf2u42dmNMzsGwg9zjJVLHA	公众号支付	买家已支付	2017/6/1 6:00	5.5	0
2017/6/1 6:00	"4000302001201706013616460252	"	"GH201706010559551294017235	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wQGCNE1WowyWGdR-mvSiQbM	公众号支付	买家已支付	2017/6/1 6:00	5.5	0
2017/6/1 6:00	"4009292001201706013613686123	"	"GH2017060105594937607377	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1weluAKkHRj6H55hn3EuS1R0	公众号支付	买家已支付	2017/6/1 6:00	5.5	0
2017/6/1 6:00	"4005512001201706013611725886	"	"GH20170601055954769555456	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wWzcvlJXHp8J_WrUFB3i7nA	公众号支付	买家已支付	2017/6/1 6:00	7.5	0
2017/6/1 6:00	"4009752001201706013611728262	"	"GH20170601055959461737841	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wWK0qFgqZs6y8H-vZircqIk	公众号支付	买家已支付	2017/6/1 6:00	7.5	0
2017/6/1 6:00	"4008722001201706013613682519	"	"GH20170601055947147937121	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wVTOooBkSWIrfdUicRmbVmg	公众号支付	买家已支付	2017/6/1 6:00	7.5	0
2017/6/1 6:00	"4001872001201706013615600151	"	"GH20170601060000103275017	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wXmKzYToECGagL7oX0Yotjk	公众号支付	买家已支付	2017/6/1 6:00	5.5	0
2017/6/1 6:00	"4005362001201706013615646827	"	"GH2017060106000680943965	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wRno5t5zx6AS0QEab6tOysg	公众号支付	买家已支付	2017/6/1 6:00	5.5	0
2017/6/1 6:00	"4001952001201706013611739279	"	"GH201706010559591965272101	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wRxwCIlydoFIAbUC1FjX9Ns	公众号支付	买家已支付	2017/6/1 6:00	3.5	0
2017/6/1 6:00	"4008172001201706013611725690	"	"GH201706010600101485205163	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wbV2VHUfPtE2velde7himpw	公众号支付	买家已支付	2017/6/1 6:00	5.5	0
2017/6/1 6:01	"4008012001201706013615615305	"	"GH201706010600071893304518	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wQgEfmfIXqFy0Efj_-qbpms	公众号支付	买家已支付	2017/6/1 6:01	7.5	0.57
2017/6/1 6:01	"4001572001201706013613708260	"	"GH20170601060012171009588	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wcDkoQUEpF3JLLkH3jQZ53g	公众号支付	买家已支付	2017/6/1 6:01	3.5	0
